,name,image,architect,year,location,point,notes
0,Andrew Dickson White House,upload.wikimedia.org/wikipedia/commons/2/27/Cornell_AD_White_House_April09_stitched.jpg,William Henry Miller,1874,Central Campus,"[-76.48199256, 42.4482754]",Begun by Miller and finished by Babcock. Built for Andrew Dickson White and his family. South wing added in 1911.
1,Anabel Taylor Hall,upload.wikimedia.org/wikipedia/commons/3/34/Anabel_Taylor_Hall_at_Cornell_University.jpg,"Starrett, Van Vleck & Marsh",1953,548 College Avenue,"[-76.485615, 42.444933]",Inside is a memorial to alumni killed in World War II
2,Atkinson Hall,upload.wikimedia.org/wikipedia/commons/2/24/Atkinson_Hall_under_construction.jpg,Lake Flato Architects,Summer 2024 (expected),Tower Road,"[-76.47320, 42.44780]",
3,Bailey Hall,upload.wikimedia.org/wikipedia/commons/0/05/Cornell_Bailey_Hall_2.jpg,Green and Wicks,1912,Central Campus,"[-76.480123, 42.449223]",
4,Baker Laboratory,upload.wikimedia.org/wikipedia/commons/e/ef/Cornell_Baker_Lab_1.jpg,Arthur N. Gibb (B.Arch 1890),1921,Central Campus,"[-76.481771, 42.450151]",
5,Bard Hall,upload.wikimedia.org/wikipedia/commons/c/ce/Bard_Hall%2C_Cornell_University.jpg,"Shreve, Lamb & Harmon",1963,Engineering Quad,"[-76.484026, 42.443878]",Bard is attached to the east end of Thurston Hall.
6,Barnes Hall,upload.wikimedia.org/wikipedia/commons/5/59/Barnes_Hall%2C_Cornell_University%2C_Ithaca%2C_NY.jpg,William Henry Miller,1887-1888,Ho Plaza,"[-76.484324, 42.446429]",Cornell's first student union.
7,Bartels Hall,upload.wikimedia.org/wikipedia/commons/e/e5/Bartels_Hall%2C_Cornell_University.jpg,Gwathmey Siegel & Associates Architects,1990,Ho Plaza,"[-76.476204, 42.445755]","Location of Newman Arena, home of the men's and women's basketball, volleyball, and wrestling teams"
8,Barton Hall,upload.wikimedia.org/wikipedia/commons/3/3f/Barton_Hall%2C_at_Cornell_University.jpg,Lewis Pilcher,1915-1917,Central Campus,"[-76.480718, 42.445954]","Originally the New York State Armory and Drill Hall, it covers an area of over two acres"
9,Beebe Hall,upload.wikimedia.org/wikipedia/commons/a/a3/Beebe_Hall%2C_Cornell_University.jpg,,1910,110 Plantations Road,"[-76.474251, 42.448938]",
