,type,geometry.type,geometry.coordinates,properties.Name,properties.Category,properties.ImageURL,properties.Address,properties.Notes,properties.AKA
0,Feature,Point,"[-76.4878787, 42.44431073]",104 West! (Kosher Dining Hall),Co-ops,,,Dining (www.campuslife.cornell.edu/campuslife/dining/104west.cfm); 104 West Ave.,
1,Feature,Point,"[-76.48841178, 42.44409097]",112 Edgemoor,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
2,Feature,Point,"[-76.47553, 42.441336]",120 Maple Ave.,Near Campus,,,CIT,
3,Feature,Point,"[-76.48499927, 42.44033831]",301 College Ave.,Collegetown,http://images.localist.com/images/main/business_huge.png?1340747100,,,
4,Feature,Point,"[-76.48497643, 42.44081657]",309 College Ave.,Collegetown,,,The Nines,
5,Feature,Point,"[-76.48533034, 42.44089596]",312 College Ave.,Collegetown,http://images.localist.com/images/main/business_huge.png?1340747100,,"University Photography; Office of Web Communications (OWC); University Communications, FSAP",
6,Feature,Point,"[-76.46270764, 42.43792222]",337 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
7,Feature,Point,"[-76.46308945, 42.43793791]",341 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
8,Feature,Point,"[-76.4621544, 42.43813181]",353 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
9,Feature,Point,"[-76.46209222, 42.43765919]",373 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
10,Feature,Point,"[-76.4631494, 42.4376323]",377 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
11,Feature,Point,"[-76.46531944, 42.43904444]",391 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,CISER,
12,Feature,Point,"[-76.4631946, 42.43896308]",395 Pine Tree Road,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
13,Feature,Point,"[-76.41905012, 42.47316663]",4-H Acres,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,"418 Lower Creek Road, Ithaca",
14,Feature,Point,"[-76.484966, 42.44211389]",409 College Ave.,Collegetown,,,"Student Agencies, Faculty and Staff Assistance Program",
15,Feature,Point,"[-76.48878611, 42.44956111]",726 University Ave.,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
16,Feature,Point,"[-76.48188889, 42.44780278]",A. D. White Gardens,Plantations,http://images.localist.com/photo/000/016/496/huge/HFBeKgfQSJjcd_ML.jpg?1298662352,,Plantations,
17,Feature,Point,"[-76.48199256, 42.4482754]",A. D. White House,Central Campus,http://images.localist.com/photo/000/016/497/huge/Hg3hgSjMo0ohzVvM.jpg?1298662357,,A. D. White House,
18,Feature,Point,"[-76.51018611, 42.44296111]",AAP Downtown Facility,Near Campus,,,531 Esty St.,
19,Feature,Point,"[12.47551389, 41.89516667]",AAP in Rome,World,http://images.localist.com/images/main/business_huge.png?1340747100,,Palazzo Lazzaroni;Cornell in Rome; QuickWorld; http://aap.cornell.edu/rome/,
20,Feature,Point,"[-73.99462376, 40.73868611]",AAP New York City Center,NYC,,,"AAP NYC; 50 West 17th St., New York, NY",
21,Feature,Point,"[-76.487259, 42.45871]",Acacia,Greek,,"318 Highland Road, Ithaca, NY 14850",Greek: IFC,
22,Feature,Point,"[-76.478316, 42.448307]",Academic Surge Facility A,Ag,,"222 Tower Rd, Ithaca, NY 14850",,
23,Feature,Point,"[-76.478309, 42.448063]",Academic Surge Facility B,Ag,,"220 Tower Rd, Ithaca, NY 14850",,
24,Feature,Point,"[-76.48233306, 42.45742909]",Africana Studies and Research Center,North Campus,http://images.localist.com/photo/000/016/498/huge/rRwo2mnBsnGAeAV_.jpg?1298662363,,John Henrik Clarke Library,
25,Feature,Point,"[-76.4785992, 42.44874224]",Ag Quad,Areas and Features,http://images.localist.com/photo/000/016/499/huge/GL2faSBBidUZ9uTB.jpg?1298662368,,,
26,Feature,Point,"[-76.452278, 42.444322]",Agriculture Waste Management Laboratory,East Campus,,"236 Gallus Rd, Ithaca, NY 14850",,
27,Feature,Point,"[-76.487083, 42.457199]",Alpha Chi Omega,Greek,,"509 Wyckoff Road, Ithaca, NY 14850",Greek: Panhellenic,
28,Feature,Point,"[-76.4898, 42.450802]",Alpha Delta Phi,Greek,,"777 Stewart Avenue, Ithaca, NY 14850",Greek: IFC,
29,Feature,Point,"[-76.48542, 42.456589]",Alpha Epsilon Phi,Greek,,"435 Wyckoff Ave Ithaca, NY 14850",Greek: Panhellenic,
30,Feature,Point,"[-76.488289, 42.454239]",Alpha Epsilon Pi,Greek,,"140 Thurston Ave., Ithaca, NY 14850",Greek: IFC,
31,Feature,Point,"[-76.485199, 42.455681]",Alpha Gamma Rho,Greek,,"203 Highland Ave., Ithaca, NY 14850",Greek: IFC,
32,Feature,Point,"[-76.483879, 42.453281]",Alpha Phi,Greek,,"411 Thurston Ave., Ithaca, NY 14850",Greek: Panhellenic,
33,Feature,Point,"[-76.49073, 42.452129]",Alpha Sigma Phi,Greek,,"804 Stewart Ave., Ithaca, NY 14850",Greek: IFC,
34,Feature,Point,"[-76.48967, 42.45538]",Alpha Xi Delta,Greek,,"40 Ridgewood, Ithaca, NY 14850",Greek: Panhellenic,
35,Feature,Point,"[-76.487228, 42.454121]",Alpha Zeta,Greek,,"214 Thurston Ave., Ithaca, NY 14850",Greek: IFC,
36,Feature,Point,"[-76.49758577, 42.44064709]","Alumni Affairs and Development, Ithaca",Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,"130 E. Seneca St., Ithaca, NY 14850",
37,Feature,Point,"[-73.982108, 40.745845]","Alumni Affairs and Development, NYC",NYC,http://images.localist.com/images/main/business_huge.png?1340747100,,"230 Park Avenue, New York, NY 10169",
38,Feature,Point,"[-76.48087705, 42.45180309]",Alumni House,North Campus,http://images.localist.com/photo/000/016/502/huge/wKR5Twa4cRdd81F3.jpg?1298662386,,,
39,Feature,Point,"[-76.480432, 42.456146]",American Indian Program House,North Campus,http://images.localist.com/photo/000/016/500/huge/IGfQWIRvqW0kqQYz.jpg?1298662372,"115 Jessup Rd, Ithaca, NY 14850",Housing; Akwekon; Akwe:kon,
40,Feature,Point,"[-76.485615, 42.444933]",Anabel Taylor Hall,Law,http://images.localist.com/photo/000/016/503/huge/hNakDbXwktJUAc45.jpg?1298662391,"548 College Ave, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/moosewood-at-anabel-taylor.cfm),
41,Feature,Point,"[-76.4672274, 42.44498333]",Animal Science Teaching and Research Barns,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
42,Feature,Point,"[-76.482343, 42.453918]",Anna Comstock House,North Campus,http://images.localist.com/photo/000/018/820/huge/3HmiEoqDfccFIdVY.jpg?1308651696,"520 Thurston Ave, Ithaca, NY 14850",Anna Comstock Hall (Latino Living Center); Housing,
43,Feature,Point,"[-76.4745151, 42.45641904]",Appel Basketball Courts,North Campus,http://images.localist.com/photo/000/016/504/huge/4Y60clWxCJb1T8YF.jpg?1298662395,,,
44,Feature,Point,"[-76.47476156, 42.45414376]",Appel South Fields and Tennis Courts,North Campus,,,,
45,Feature,Point,"[-70.61504615, 42.98771389]","Appledore Island, Gulf of Maine",World,,,Shoals Marine Lab; SML; QuickWorld; http://www.sml.cornell.edu/,
46,Feature,Point,"[-76.46795641, 42.441875]",Aquaculture Building,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
47,Feature,Point,"[-66.75273186, 18.34412101]",Arecibo Observatory,World,http://images.localist.com/photo/000/016/506/huge/Kgg5wCoyEboTAmpc.jpg?1298662404,,National Astronomy and Ionosphere Center (NAIC); QuickWorld; http://www.naic.edu/,
48,Feature,Point,"[-76.62686199, 42.26295851]",Arnot Teaching and Research Forest,State,http://images.localist.com/images/main/business_huge.png?1340747100,,Natural Resources; QuickState,
49,Feature,Point,"[-76.451763, 42.444271]",Arthropod Research Facility,East Campus,,"226 Gallus Rd, Ithaca, NY 14850",,
50,Feature,Point,"[-76.48453237, 42.44927342]",Arts Quad,Areas and Features,http://images.localist.com/photo/000/016/507/huge/08hJOa28GCcow76s.jpg?1298662409,,,
51,Feature,Point,"[-76.480123, 42.449223]",Bailey Hall,Central Campus,http://images.localist.com/photo/000/016/671/huge/01yPtAA3zUkOZhcg.jpg?1298676108,"230 Garden Ave, Ithaca, NY 14850",,
52,Feature,Point,"[-76.4539784, 42.42801823]",Baker Institute for Animal Health,Near Campus,http://images.localist.com/photo/000/016/510/huge/onbFazHH7qeb0FZp.jpg?1298662422,,Veterinary; Hungerford Hill,
53,Feature,Point,"[-76.481771, 42.450151]",Baker Laboratory,Central Campus,http://images.localist.com/photo/000/016/511/huge/gHPvoNPdmHPwfM9M.jpg?1298662426,"259 East Ave, Ithaca, NY 14850",,
54,Feature,Point,"[-76.488661, 42.448714]",Baker North,West Campus,http://images.localist.com/photo/000/016/605/huge/NV3tntVk8fSsXTAd.jpg?1298662875,"117 Gothics Way, Ithaca, NY 14850",North Baker Hall; Housing,
55,Feature,Point,"[-76.488357, 42.448494]",Baker South,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"123 Gothics Way, Ithaca, NY 14850",South Baker Hall; Housing,
56,Feature,Point,"[-76.488153, 42.448928]",Baker Tower,West Campus,http://images.localist.com/photo/000/016/512/huge/ylkXe4Tg0tC0m1eH.jpg?1298662430,"356 West Ave, Ithaca, NY 14850",Housing,
57,Feature,Point,"[-76.479677, 42.452988]",Balch Hall,North Campus,http://images.localist.com/photo/000/016/513/huge/ChJZCCIpKwmtWehQ.jpg?1298662434,"600 Thurston Ave, Ithaca, NY 14850",Housing; Cafe (www.campuslife.cornell.edu/campuslife/dining/carols-cafe.cfm),
58,Feature,Point,"[-76.484026, 42.443878]",Bard Hall,Engineering,http://images.localist.com/photo/000/016/514/huge/ODzHq_AMwGxPaguW.jpg?1298662437,"126 Hollister Dr, Ithaca, NY 14850",,
59,Feature,Point,"[-76.484324, 42.446429]",Barnes Hall,Central Campus,http://images.localist.com/photo/000/016/515/huge/tVZWzkNPX0PwJodf.jpg?1298662440,"129 Ho Plz, Ithaca, NY 14850",Organ; organs,
60,Feature,Point,"[-76.476204, 42.445755]",Bartels Hall,Athletics,http://images.localist.com/photo/000/016/516/huge/T_XPYE_oU9oCDCda.jpg?1298662445,"554 Campus Rd, Ithaca, NY 14850",Basketball; Volleyball,
61,Feature,Point,"[-76.480718, 42.445954]",Barton Hall,Athletics,http://images.localist.com/photo/000/016/517/huge/rVKt1EFFkY3HxZjG.jpg?1298662449,"117 Statler Dr, Ithaca, NY 14850",Police; ROTC; Track and Field,
62,Feature,Point,"[-77.00568278, 42.87526236]",Barton Laboratory,State,,,,
63,Feature,Point,"[-76.478462, 42.453612]",Bauer Hall,North Campus,http://images.localist.com/photo/000/016/518/huge/32aQa49sf1aibkW8.jpg?1298662455,"148 Cradit Farm Dr, Ithaca, NY 14850",Housing,
64,Feature,Point,"[-76.47949485, 42.45194444]",Beebe Dam,Areas and Features,,,,
65,Feature,Point,"[-76.47998195, 42.45174444]",Beebe Dam Bridge,Areas and Features,http://images.localist.com/photo/000/016/519/huge/JHH5yhLaOMP2OOxT.jpg?1298662461,,,
66,Feature,Point,"[-76.474251, 42.448938]",Beebe Hall,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"110 Plantations Rd, Ithaca, NY 14850",,
67,Feature,Point,"[-76.47722253, 42.45144121]",Beebe Lake,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
68,Feature,Point,"[-76.47841853, 42.45233825]",Beebe Lake Green,Areas and Features,http://images.localist.com/photo/000/016/520/huge/jBZty5Yce_wBj_Gk.jpg?1298662465,,,
69,Feature,Point,"[-76.46556585, 42.43500943]",Belkin Squash Courts,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,230 Pine Tree Road,
70,Feature,Point,"[-76.47368526, 42.44615427]",Berman Soccer Field,Athletics,,,,
71,Feature,Point,"[-76.489891, 42.455921]",Beta Theta Pi,Greek,,"100 Ridgewood Road, Ithaca, NY 14850",Greek: IFC,
72,Feature,Point,"[-76.480959, 42.448499]",Big Red Barn,Central Campus,http://images.localist.com/photo/000/016/521/huge/rkbplVV650tOhkUU.jpg?1298662472,"135 Presidents Dr, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/big-red-barn.cfm),
73,Feature,Point,"[-76.480807, 42.44495]",Bill and Melinda Gates Hall,Engineering,,"107 Hoy Rd, Ithaca, NY 14850",,Gates Hall
74,Feature,Point,"[-76.4789193, 42.44685503]",Biology Quad,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
75,Feature,Point,"[-76.47836222, 42.44642621]",Biotechnology Building,Central Campus,http://images.localist.com/photo/000/017/178/huge/ErApy3vE9HoKKArJ.jpg?1300376182,,,
76,Feature,Point,"[-76.46880792, 42.44299167]",Blair Farm Complex,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
77,Feature,Point,"[-76.469785, 42.448652]",Blauvelt Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"169 Helios Cir, Ithaca, NY 14850",,
78,Feature,Point,"[-76.488725, 42.449007]",Boldt Hall,West Campus,http://images.localist.com/photo/000/016/523/huge/mp91NNc5nS8bywOG.jpg?1298662483,"727 University Ave, Ithaca, NY 14850",Housing; Language House,
79,Feature,Point,"[-76.489066, 42.448998]",Boldt Tower,West Campus,,"727 University Ave, Ithaca, NY 14850",Housing,
80,Feature,Point,"[-76.46764, 42.447035]",Boyce Thompson Institute,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"533 Tower Rd, Ithaca, NY 14850",,
81,Feature,Point,"[-76.475775, 42.447931]",Bradfield Hall,Ag,http://images.localist.com/photo/000/016/524/huge/orlmiOxAcBrj7k2d.jpg?1298662489,"306 Tower Rd, Ithaca, NY 14850",,
82,Feature,Point,"[-76.4817, 42.45660556]",Brooklane Apartments,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
83,Feature,Point,"[-76.474077, 42.448324]",Bruckner Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"208 Mann Dr, Ithaca, NY 14850",,
84,Feature,Point,"[-76.4612789, 42.48543611]",Business and Technology Park,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,"Thornwood, Brown Rd., Brown Rd, Brown Road",
85,Feature,Point,"[-76.52156794, 42.41700556]",Buttermilk Falls State Park,Community,http://images.localist.com/photo/000/016/525/huge/1tWhS3V00rAcIofe.jpg?1298662494,,,
86,Feature,Point,"[-76.478261, 42.449222]",Caldwell Hall,Ag,http://images.localist.com/photo/000/016/527/huge/mBVxPnDFROsP_xCZ.jpg?1298662503,"121 Reservoir Ave, Ithaca, NY 14850",,
87,Feature,Point,"[-76.489555, 42.448208]",Carl Becker House,West Campus,http://images.localist.com/photo/000/016/528/huge/rpZVzdQEBzaiEgx3.jpg?1298662508,"647 Stewart Ave, Ithaca, NY 14850",Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/carl-becker-house-dining.cfm),
88,Feature,Point,"[-76.484173, 42.444818]",Carpenter Hall,Engineering,http://images.localist.com/photo/000/016/529/huge/4I4All7DPfbnE8KI.jpg?1298662512,"313 Campus Rd, Ithaca, NY 14850",Engineering Library,
89,Feature,Point,"[-76.48697829, 42.44314523]",Cascadilla Creek,Areas and Features,http://images.localist.com/photo/000/016/530/huge/1EtvmCi_mmP0gqh_.jpg?1298662518,,,
90,Feature,Point,"[-76.486809, 42.442393]",Cascadilla Hall,Collegetown,http://images.localist.com/photo/000/016/531/huge/I2SGSkWPeminSSA9.jpg?1298662523,"115 Cascadilla Pl, Ithaca, NY 14850",Housing,
91,Feature,Point,"[-76.51134961, 42.45305539]",Cayuga Inlet,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
92,Feature,Point,"[-76.53753611, 42.46915556]",Cayuga Medical Center,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,Hospital,
93,Feature,Point,"[-76.554624, 42.519042]",Cayuga Nature Center,Community,,"1420 Taughannock Blvd., Ithaca, NY 14850",,
94,Feature,Point,"[-76.48787851, 42.4443886]",Center for Jewish Living,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
95,Feature,Point,"[-76.474696, 42.442929]",Central Heating Plant,East Hill,,"651 Dryden Rd, Ithaca, NY 14850",,
96,Feature,Point,"[-76.49009722, 42.4537]",Chesterton House,Co-ops,,,Housing,
97,Feature,Point,"[-76.48877, 42.443691]",Chi Phi,Greek,,"107 Edgemoor Lane, Ithaca, NY 14850",Greek: IFC,
98,Feature,Point,"[-76.488129, 42.450859]",Chi Psi,Greek,,"810 University Ave., Ithaca, NY 14850",Greek: IFC,
99,Feature,Point,"[-76.47925571, 42.45133333]",Chilled Water Plant,Central Campus,http://images.localist.com/photo/000/016/533/huge/_geBN88NbhivAMuY.jpg?1298662533,,,
100,Feature,Point,"[-76.479112, 42.454242]",Clara Dickson Hall,North Campus,http://images.localist.com/photo/000/016/534/huge/drUoGTOJWPZ_1zO_.jpg?1298662538,"21 Sisson Pl, Ithaca, NY 14850",Housing,
101,Feature,Point,"[-76.481122, 42.449819]",Clark Hall,Central Campus,http://images.localist.com/photo/000/016/535/huge/_34UcJWCGcANNZ64.jpg?1298662542,"142 Sciences Dr, Ithaca, NY 14850",Physical Sciences Library; Edna McConnell Clark Library;,
102,Feature,Point,"[-76.48521343, 42.4430324]",College Avenue Stone Arch Bridge,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
103,Feature,Point,"[-76.511169, 42.446922]",Collyer Boat House,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,"685 Third St, Ithaca, NY 14850",Rowing,
104,Feature,Point,"[-76.46464444, 42.44690278]",Companion Animal Hospital,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Dogs; Cats; Feline; Canine,
105,Feature,Point,"[-76.479036, 42.449285]",Computing and Communications Center,Ag,http://images.localist.com/photo/000/016/526/huge/Mqc56UNucrsbPsqi.jpg?1298662499,"235 Garden Ave, Ithaca, NY 14850","CCC, HelpDesk; Net IDs, CIT, IT",
106,Feature,Point,"[-76.47933943, 42.44658086]",Comstock Hall,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Comstock Memorial Library of Entomology,
107,Feature,Point,"[-76.4644411, 42.47979793]",Convenient Care at Ithaca,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
108,Feature,Point,"[-76.489599, 42.448831]",Cook House,West Campus,http://images.localist.com/photo/000/016/501/huge/zbRnOQYerQNZKb0c.jpg?1298662376,"709 University Ave, Ithaca, NY 14850",Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/alice-cook-house-dining.cfm),
